Section,DO,Metric,Value
Phase Network,Ajmer,Phase VI,182
Phase Network,Ajmer,Phase VII,272
Phase Network,Ajmer,Phase VIII,133
Phase Network,Ajmer,Phase IX Orpak,12
Phase Network,Ajmer,Phase IX BCT,8
Phase Network,Ajmer,Phase X ATOS,11
Phase Network,Ajmer,Phase X PINELABS,9
Phase Network,Ajmer,Total,627
Phase Network,Jaipur,Phase VI,293
Phase Network,Jaipur,Phase VII,309
Phase Network,Jaipur,Phase VIII,148
Phase Network,Jaipur,Phase IX Orpak,11
Phase Network,Jaipur,Phase IX BCT,8
Phase Network,Jaipur,Phase X ATOS,24
Phase Network,Jaipur,Phase X PINELABS,15
Phase Network,Jaipur,Total,808
Phase Network,Jodhpur,Phase VI,234
Phase Network,Jodhpur,Phase VII,274
Phase Network,Jodhpur,Phase VIII,151
Phase Network,Jodhpur,Phase IX Orpak,12
Phase Network,Jodhpur,Phase IX BCT,8
Phase Network,Jodhpur,Phase X ATOS,11
Phase Network,Jodhpur,Phase X PINELABS,18
Phase Network,Jodhpur,Total,708
Phase Network,Udaipur,Phase VI,164
Phase Network,Udaipur,Phase VII,309
Phase Network,Udaipur,Phase VIII,149
Phase Network,Udaipur,Phase IX Orpak,12
Phase Network,Udaipur,Phase IX BCT,8
Phase Network,Udaipur,Phase X ATOS,6
Phase Network,Udaipur,Phase X PINELABS,5
Phase Network,Udaipur,Total,653
Phase Network,RSO,Phase VI,873
Phase Network,RSO,Phase VII,1164
Phase Network,RSO,Phase VIII,581
Phase Network,RSO,Phase IX Orpak,47
Phase Network,RSO,Phase IX BCT,32
Phase Network,RSO,Phase X ATOS,52
Phase Network,RSO,Phase X PINELABS,47
Phase Network,RSO,Total,2796
Phase IX — Orpak,Ajmer,PO Number,12
Phase IX — Orpak,Ajmer,Removed By IOCL,0
Phase IX — Orpak,Ajmer,Site Readiness Received,12
Phase IX — Orpak,Ajmer,Material Dispatch,12
Phase IX — Orpak,Ajmer,Material Received,12
Phase IX — Orpak,Ajmer,Civil & Electric Completed,12
Phase IX — Orpak,Ajmer,Power On Completed,12
Phase IX — Orpak,Ajmer,SAT Submitted,12
Phase IX — Orpak,Ajmer,CAMC PO Received,10
Phase IX — Orpak,Jaipur,PO Number,11
Phase IX — Orpak,Jaipur,Removed By IOCL,0
Phase IX — Orpak,Jaipur,Site Readiness Received,11
Phase IX — Orpak,Jaipur,Material Dispatch,11
Phase IX — Orpak,Jaipur,Material Received,11
Phase IX — Orpak,Jaipur,Civil & Electric Completed,11
Phase IX — Orpak,Jaipur,Power On Completed,11
Phase IX — Orpak,Jaipur,SAT Submitted,11
Phase IX — Orpak,Jaipur,CAMC PO Received,11
Phase IX — Orpak,Jodhpur,PO Number,20
Phase IX — Orpak,Jodhpur,Removed By IOCL,8
Phase IX — Orpak,Jodhpur,Site Readiness Received,12
