Daily Sale Monitoring Dashboard - RSO Dated 12-09-2026,,,,,,11,11/09/26,12/09/26
Section,Parameter,Unit,MS,HSD,,,,
Mkt Shr Ind,IND Abs Mkt Shr for month of Aug-26,%,36.7,37.9,,,Sales (SAP) on ,
,IND Mkt Shr for month of Aug-25,%,36.4,36.0,,,Cumulative Sales till ,
,IND Mkt Shr Gr. for month of Aug-26,%,0.3,1.9,,,,
,IND Abs Mkt Shr for month of Apr-Aug-26,%,37.4,40,,,,
,IND Mkt Shr for month of Apr Aug-25,%,36.3,36.4,,,,
,IND Mkt Shr Gr. for month of Apr Aug-25,%,1.1,3.6,,,Cumulative Sales till 28-04-26,
Mkt Shr PSU,PSU Mkt Share Gr. 1-7 Sep'26 Actual,%,3.9,1.2,,,Nozzle sale on,
,PSU Mkt Share Gr. 1-7 Sep'26 Prorata,%,-2.5,0.5,,,,
,PSU Abs Mkt Shr for month of Aug-26,%,40.7,42.1,,,Daily Sale Monitoring Dashboard - RSO Dated,
,PSU Mkt Shr for month of Aug-25,%,41,41.5,,,Dryouts on ,
,PSU Mkt Shr Gr. for month of Aug-26,%,-0.3,0.6,,,,
,PSU Abs Mkt Shr for month of Apr-Aug-26,%,41.3,43.8,,,,
,PSU Mkt Shr for month of Apr Aug-25,%,41.1,42.2,,,,
,PSU Mkt Shr Gr. for month of Apr Aug-25,%,0.2,1.6,,,,
Sales Performance,Sales (SAP) on  11-09-2026,KL,"3,059","6,205",,,,
,Cumulative Sales till  11-09-2026,KL,"29,801","60,512",,,,
,LY (Sep 2025) ,KL,"19,737","38,451",,,,
,Growth,%,51.0,57.4,,,,
,Growth (1-7 Sep 2026),%,94.4,89.1,,,,
,Growth (1-14 Sep 2026),%,,,,,,
,Growth (1-21 Sep 2026),%,,,,,,
,Growth (1-28 Sep 2026),%,,,,,,
,Nozzle sale on 11-09-2026,KL,2927,5611,,,,
Target,Base Volume for Sep-26,KL,88485,181543,,,,
,Target for Current Month,KL,98971,208654,,,,
,Target Growth for Current Month,%,11.9,14.9,,,,
,Target vs Actual,KL,6488,15994,,,,
Commissioning Upto Aug 2026,A Class IOC Month & Cumulative ,Nos.,0,0,,,,
,B Class IOC Month & Cumulative ,Nos.,0,1,,,,
,D1 Class IOC Month & Cumulative ,Nos.,1,17,,,,
,Overall IOC Month & Cumulative ,Nos.,1,32,,,,
,Overall PSU Month & Cumulative ,Nos.,1,59,,,,
Inventory,Tankage,KL,52585,71070,,,,
,Today's Inventory,%,45.5,48.9,,,,
,Inventory as on 01-08-2026,%,40.4,54.5,,,,
Dryouts,Volume Loss MS & HSD ,L,1369,414,,,,
,Dryouts on  11-09-2026,Nos.,7,4,,,,
YTS ,As on 01.04.2026,Nos.,88,,,,,
,As on 01.09.2026 ,Nos.,37,,,,,
NIL Selling ,As on 01.04.2026,Nos.,48,,,,,
,As on 01.09.2026 ,Nos.,58,,,,,
Lube Sales ,Month CY vs LY ,KL,383,250,,,,
,Cumulative CY vs LY ,KL,1046,801,,,,
NFR Store ,As on 01.04.2026,Nos.,1262,,,,,
,As on 01.09.2026 ,Nos.,1270,,,,,
Xtrapower ,Month CY vs LY ,%,17.1,15.2,,,,
,Cumulative CY vs LY ,%,13.4,11.8,,,,
